reference_scope,run_id,ontology_pair,ontology_pair_label,stage1_model,examples,direction,pair_key,source_label,target_label,fate
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00001002,Food Technology,food product,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00004242,Nutritive Value,animal food product,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001046,Nutritive Value,animal seafood product,lost_in_stage1
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000037,Nutritive Value,DASH diet,lost_in_stage1
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000005,Nutritive Value,diet by nutritional composition,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001248,Nutritive Value,fish food product,lost_in_stage1
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00002403,Nutritive Value,food material,lost_in_stage1
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001002,Nutritive Value,food product,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001143,Nutritive Value,fungus food product,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000043,Nutritive Value,gluten free diet,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000036,Nutritive Value,ketogenic diet,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000040,Nutritive Value,"low-carbohydrate, high-protien, high fat diet",stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001015,Nutritive Value,plant food product,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000066,Nutritive Value,rural diet,stage2_yes
expanded,MO_L_E0_D21,mesh_ons,MeSH–ONS,Llama,without,2-1,http://purl.bioontology.org/ontology/MESH/D011634||http://purl.obolibrary.org/obo/ONS_1000001,Public Health,diet,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00004242,Food Contamination,animal food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001046,Food Contamination,animal seafood product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001248,Food Contamination,fish food product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001002,Food Contamination,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001143,Food Contamination,fungus food product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001015,Food Contamination,plant food product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00002403,Food Industry,food material,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00001002,Food Industry,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00002403,Food Labeling,food material,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00001002,Food Labeling,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00002403,Food Quality,food material,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00001002,Food Quality,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00002403,Food Technology,food material,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00001002,Food Technology,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00004242,Nutritive Value,animal food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001046,Nutritive Value,animal seafood product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000037,Nutritive Value,DASH diet,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000005,Nutritive Value,diet by nutritional composition,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001248,Nutritive Value,fish food product,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00002403,Nutritive Value,food material,lost_in_stage1
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001002,Nutritive Value,food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001143,Nutritive Value,fungus food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000043,Nutritive Value,gluten free diet,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000036,Nutritive Value,ketogenic diet,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000040,Nutritive Value,"low-carbohydrate, high-protien, high fat diet",stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001015,Nutritive Value,plant food product,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000066,Nutritive Value,rural diet,stage2_yes
expanded,MO_L_E1_D12,mesh_ons,MeSH–ONS,Llama,with,1-2,http://purl.bioontology.org/ontology/MESH/D011634||http://purl.obolibrary.org/obo/ONS_1000001,Public Health,diet,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00004242,Food Contamination,animal food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001046,Food Contamination,animal seafood product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001248,Food Contamination,fish food product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001002,Food Contamination,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001143,Food Contamination,fungus food product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001015,Food Contamination,plant food product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00002403,Food Industry,food material,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00001002,Food Industry,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00002403,Food Labeling,food material,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00001002,Food Labeling,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00002403,Food Quality,food material,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00001002,Food Quality,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00002403,Food Technology,food material,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00001002,Food Technology,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00004242,Nutritive Value,animal food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001046,Nutritive Value,animal seafood product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000037,Nutritive Value,DASH diet,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000005,Nutritive Value,diet by nutritional composition,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001248,Nutritive Value,fish food product,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00002403,Nutritive Value,food material,lost_in_stage1
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001002,Nutritive Value,food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001143,Nutritive Value,fungus food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000043,Nutritive Value,gluten free diet,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000036,Nutritive Value,ketogenic diet,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000040,Nutritive Value,"low-carbohydrate, high-protien, high fat diet",stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/FOODON_00001015,Nutritive Value,plant food product,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D009753||http://purl.obolibrary.org/obo/ONS_1000066,Nutritive Value,rural diet,stage2_yes
expanded,MO_L_E1_D21,mesh_ons,MeSH–ONS,Llama,with,2-1,http://purl.bioontology.org/ontology/MESH/D011634||http://purl.obolibrary.org/obo/ONS_1000001,Public Health,diet,stage2_yes
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00004242,Food Contamination,animal food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001046,Food Contamination,animal seafood product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001248,Food Contamination,fish food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001002,Food Contamination,food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001143,Food Contamination,fungus food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005506||http://purl.obolibrary.org/obo/FOODON_00001015,Food Contamination,plant food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00002403,Food Industry,food material,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D019649||http://purl.obolibrary.org/obo/FOODON_00001002,Food Industry,food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00002403,Food Labeling,food material,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005515||http://purl.obolibrary.org/obo/FOODON_00001002,Food Labeling,food product,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00002403,Food Quality,food material,stage2_yes
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D063427||http://purl.obolibrary.org/obo/FOODON_00001002,Food Quality,food product,stage2_yes
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00002403,Food Technology,food material,lost_in_stage1
expanded,MO_Q_E0_D12,mesh_ons,MeSH–ONS,Qwen,without,1-2,http://purl.bioontology.org/ontology/MESH/D005524||http://purl.obolibrary.org/obo/FOODON_00001002,Food Technology,food product,stage2_yes
