source,target,source_label,target_label
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D011634,food or beverage serving worker,Public Health
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D019649,food or beverage serving worker,Food Industry
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.bioontology.org/ontology/MESH/D063427,food or beverage serving worker,Food Quality
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.bioontology.org/ontology/MESH/D005515,bartender,Food Labeling
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.bioontology.org/ontology/MESH/D009753,bartender,Nutritive Value
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.bioontology.org/ontology/MESH/D019649,bartender,Food Industry
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.bioontology.org/ontology/MESH/D063427,bartender,Food Quality
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.bioontology.org/ontology/MESH/D011634,waiter or waitress,Public Health
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.bioontology.org/ontology/MESH/D019649,waiter or waitress,Food Industry
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.bioontology.org/ontology/MESH/D063427,waiter or waitress,Food Quality
