source,target,source_label,target_label
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000040,"cook, institution or cafeteria","low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000043,"cook, institution or cafeteria",gluten free diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000052,"cook, institution or cafeteria",halal diet
http://purl.obolibrary.org/obo/OCCO_35201200,http://purl.obolibrary.org/obo/ONS_1000066,"cook, institution or cafeteria",rural diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00001002,"cook, restaurant",food product
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00001015,"cook, restaurant",plant food product
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00001248,"cook, restaurant",fish food product
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00002403,"cook, restaurant",food material
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00003194,"cook, restaurant",vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/FOODON_00004242,"cook, restaurant",animal food product
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_0000082,"cook, restaurant",clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000001,"cook, restaurant",diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000005,"cook, restaurant",diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000007,"cook, restaurant",prescribed diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000026,"cook, restaurant",pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000028,"cook, restaurant",non-pork diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000036,"cook, restaurant",ketogenic diet
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000040,"cook, restaurant","low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35201400,http://purl.obolibrary.org/obo/ONS_1000066,"cook, restaurant",rural diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/FOODON_00001002,food or beverage serving worker,food product
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/FOODON_00001248,food or beverage serving worker,fish food product
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/FOODON_00003194,food or beverage serving worker,vegetarian food material
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/FOODON_03420164,food or beverage serving worker,animal material
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_0000082,food or beverage serving worker,clinically prescribed diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000001,food or beverage serving worker,diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000005,food or beverage serving worker,diet by nutritional composition
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000007,food or beverage serving worker,prescribed diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000019,food or beverage serving worker,diet by food organism
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000021,food or beverage serving worker,vegan diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000026,food or beverage serving worker,pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000036,food or beverage serving worker,ketogenic diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000040,food or beverage serving worker,"low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000052,food or beverage serving worker,halal diet
http://purl.obolibrary.org/obo/OCCO_35300000,http://purl.obolibrary.org/obo/ONS_1000066,food or beverage serving worker,rural diet
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/FOODON_00001002,bartender,food product
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/FOODON_00001046,bartender,animal seafood product
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/ONS_1000007,bartender,prescribed diet
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/ONS_1000026,bartender,pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/ONS_1000028,bartender,non-pork diet
http://purl.obolibrary.org/obo/OCCO_35301100,http://purl.obolibrary.org/obo/ONS_1000040,bartender,"low-carbohydrate, high-protien, high fat diet"
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/FOODON_00001002,waiter or waitress,food product
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/FOODON_00001015,waiter or waitress,plant food product
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/FOODON_00001143,waiter or waitress,fungus food product
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/FOODON_00002403,waiter or waitress,food material
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000001,waiter or waitress,diet
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000007,waiter or waitress,prescribed diet
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000019,waiter or waitress,diet by food organism
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000026,waiter or waitress,pescetarian diet
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000036,waiter or waitress,ketogenic diet
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000052,waiter or waitress,halal diet
http://purl.obolibrary.org/obo/OCCO_35303100,http://purl.obolibrary.org/obo/ONS_1000066,waiter or waitress,rural diet
